,episode_idx,round,topic,message,dodeca_response,memnet_response,knowledge,gold,dodeca_label,memnet_label
259,685,2,Role-playing game,no i have never played but i have friends who played. i like warhammer 40k,"i ' ve heard of warhammer , but never played it . it ' s been around since 1987 .","i ' m not sure , but i do know that it was created in the 1980s .","""Warhammer 40,000"" was created by Rick Priestley in 1987 as the futuristic companion to ""Warhammer Fantasy Battle"", sharing many game mechanics.",I like Warhammer 40k too. I also never knew that it was made in 1987!,0,0
260,692,2,Dancing with the Stars,Really? When did that air?,"i ' m not sure when it aired , but it was one of the most popular tv programs in 2006 - 2007 .",it was the most popular television show in 2006 and 2007 .,"As a result, the series became the world's most popular television program among all genres in 2006 and 2007, according to the magazine ""Television Business International"", reaching the Top 10 in 17 countries.","It looks like it debuted in the mid 2000s, because the US version was the world's most popular TV program in 2006.",0,0
261,693,3,Wedding cake,hahah oh my gosh that would be a GREAT wedding cake! I'd love it for breakfast,"well , traditionally wedding cake was made to make good luck for the couple and guests .",that ' s true . wedding cakes were traditionally made to bring good luck to the wedding .,"Traditionally, wedding cakes were made to bring good luck to all guests and the couple.","Haha, I don't know about that. Usually cakes are made to give you good luck. Anything secret ingredients might take grandmother by surprise.",0,0
262,695,3,Origins of rock and roll,There has been some great rock and roll coming out of the UK. What else can you tell me about the origins?,alan freed started playing the music style in 1951 .,"i ' m not sure , but i do know that in the late 19th century , the creator began playing the sound of the beatles .","In 1951, Cleveland-based disc jockey Alan Freed began playing this music style while popularizing the term ""rock and roll"" to describe it.","I know that in 1951 Cleveland Disk-Jockey Alan Freed began playing some music using the term ""rock and roll"".",0,1
263,703,0,Titanic (1997 film),"One of my favorite movies is Titanic, the one with Leonardo Dicaprio and Kate Winslet.","i ' ve never seen it , but i know james cameron directed it .",it was directed by james cameron and james cameron .,"Titanic is a 1997 American epic romance-disaster film directed, written, co-produced and co-edited by James Cameron.","Yea the movie is a classic already, with some big names like James Cameron co produced it.",0,1
264,708,2,Rain,I really love the snow as well.  It allows me to snowboard!  I always forget that fog is actually water.,fog is a low lying cloud that is influenced by water,"i ' ve never heard of that , but i do know that there are so many types of rock and rock .","Fog can be considered a type of low-lying cloud and is heavily influenced by nearby bodies of water, topography, and wind conditions.",Yes it is from nearby bodies of water and is really a low flying cloud,0,1
265,709,1,Horse racing,"no i have never watch their performance but i do love watching equestrian, i love horse",horses have been domesticated since 4000 bc .,that ' s cool ! horse racing started around 4000 bc !,"Humans began to domesticate horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC.",Yeah I love horses. They've been domesticated since 4000 BC and more in 3000BC.,0,1
266,711,2,Chocolate cake,really? what is the sweetener?,stevia is a sugar substitute that is extracted from leaves of plant species .,i ' m not sure but i do know it ' s a type of plant that comes from a plant plant .,"Stevia () is a sweetener and sugar substitute extracted from the leaves of the plant species ""Stevia rebaudiana"".",I use stevia.  It is extracted from the leaves of a plant called Stevia rebaudiana.  It takes some getting used to but is worth it.,0,1
267,712,2,Olympic weightlifting,Neat! I think I remember seeing the clean jerk on TV. I bet there have been many incredible records made!,there are different body weight categories for males and females,"i ' m not sure , but there are different categories of males .",Bodyweight categories are different for male and female competitors.,Yes and the body weight categories differ for males and females,0,1
268,713,2,Tupac Shakur,That's a very good point.  Are you a fan of his music?,"i ' m not a huge fan , but i do know that his parents were black panthers .","i don ' t know much about him , but i do know he was a member of the black sabbath .","Both of his parents and several other people in his family were members of the Black Panther Party, whose ideals were reflected in his songs.","Yes of course. His music is heavily influenced by ideals of the Black Panther Party, because lots of his family members were Black Panthers.",0,1
269,721,4,Rock music,I think that's my friend's favorite! I'll definitely check it out!,have you heard lost highway ? it came out in 2007 .,i love bon iver ' s second studio album .,"Lost Highway is the tenth studio album by American rock band Bon Jovi, released on June 19, 2007 through Island Records.","Give the album ""Lost Highway"" a try, too!",0,1
270,722,3,Pie,"I prefer filled pie, the Dutch kind. It's so good... And I prefer the crust sweet, not salty",have you ever had a top crust pie ? they are covered with pastry before baking,"i ' m not sure , but i do know that it is a top dish in the bottom of the crust .","A ""top-crust"" pie has the filling in the bottom of the dish and is covered with a pastry or other covering before baking.","I prefer the filled kind too, otherwise there is too much crust. Also, there is a kind called top crust, where the filling is only on the bottom and the crust is only on top?",0,1
271,726,3,Blue,"Nice to know...are you a teaser? Well blue could also signify a mood ,what do yo think?",blue is an important color in decoration and art .,"well , it ' s been used in art since ancient times .",Blue has been an important colour in art and decoration since ancient times.,Oh yes. I know and Blue is an important colour in art and decoration since ancient times. Maybe because it lifts your mood.,0,0
272,730,0,Taylor Swift,,have you ever heard of taylor swift ? she was born in pennsylvania .,"i love listening to taylor swift . she was born and raised in nashville , pennsylvania .","Born and raised in Pennsylvania, Swift moved to Nashville, Tennessee at the age of 14 to pursue a career in country music.",I love Taylor Swift she started out at just 14.,0,1
273,753,1,Justin Timberlake,"I have heard of Justin Timberlake, but I don't recall his music well. What has he sung?","his debut album , justified , was released in 2002 .","i ' m not sure , but he ' s also known as "" rock and roll "" .","Timberlake began to adopt a more mature image as an artist with the release of his debut solo album, the R&B-focused ""Justified"" (2002), which yielded the successful singles ""Cry Me a River"" and ""Rock Your Body"", and earned his first two Grammy Awards.","His first album was called ""Justified"" which had the singles ""Cry Me a River"" and ""Rock Your Body"".",0,1
274,753,3,Justin Timberlake,Oh? How many albums has he sold? I need to familiarize myself more with mainstream pop music.,"i ' m not sure , but he has sold over 10 million albums worldwide .","i ' m not sure , but they have sold more than 10 million copies .","Established as a solo artist worldwide, his first two albums both exceeded sales of 10 million copies, and continued producing records and collaborating with other artists.",His first two albums exceeded 10 million copies sold. He had a controversial performance performing with Janet Jackson at the Super Bowl.,0,0
275,761,3,Communism,The revolution will be inevitable if conditions worsen for the masses.,i think so too . it was a very severe economic depression in the 1930s,depression was a popular depression in the us during depression .,"The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, originating in the United States.",With how big the population in China is at the time also.  I just remember how bad the Great Depression was in the 30's,0,1
276,766,2,Parrot,"That's so many, I never would've thought there could be that many species of them.",they have a strong curved bill and strong legs .,"yes , they are known for their strong curved stance , strong legs , and clawed feet .","Characteristic features of parrots include a strong, curved bill, an upright stance, strong legs, and clawed zygodactyl feet.","You can tell it's a parrot if they have a strong curved bill, they have an upright stance and clawed zygodactyl feet.",0,1
277,770,0,Husky,I use to always want a Siberian Husky when I was younger they are so beautiful.,i love huskies ! they are great sled dogs .,husky is a sled dog that is used in northern regions,"Husky is a general name for a sled-type of dog used in northern regions, differentiated from other sled-dog types by their fast pulling style.",I have one. I use him as a sled dog.,0,0
278,774,1,Skateboarding,I am not but I had no idea that it would be in the Olympics!,"yeah , the games will be held in tokyo in august 2020 .","i ' ve never been to tokyo , but i know it ' s been around since 2020 .",The games are planned to be held from 24 July to 9 August 2020 in Tokyo.,"So cool right? I think Tokyo will really get an interesting experience come July 24th, 2020!",0,1
279,775,1,Game of Thrones,Actually I have not! It just never sparked my interest. I dont even know what it is about?,it is a tv show that is based on a book series .,it ' s based on a song of ice and fire by george r . r . martin .,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",it is an adaption of a song of ice and fire,0,0
280,781,0,Backstreet Boys,I like the music group the Backstreet Boys,i love them too ! they were formed in 1993 in orlando .,me too ! they ' re an american vocal group formed in 1993 .,"The Backstreet Boys (often abbreviated as BSB) are an American vocal group, formed in Orlando, Florida in 1993.","Really?  I do not, but I do know they are from Orlando FL, formed in 1993",0,0
281,815,2,Headphones,Do you know how long headphones have been around?,"i ' m not sure how long they ' ve been around , but i do know that they were developed way back in the 19th century .",i am not sure but i do know they were invented in the late 19th century .,"The first headphones were developed in the late 19th century for use by telephone operators, to keep their hands free.",Yes! They were invented in the 19th century for telephone operators.,0,0
282,816,0,Robert De Niro,,have you ever seen robert anthony niro ? he was born in 1943 .,have you ever heard of robert niro ? he is an american actor .,"Robert Anthony De Niro Jr. (; born August 17, 1943) is an American actor, producer, and director who holds both American and Italian citizenship.",I just found out that Robert De Niro has both American and Italian citizenship!,0,0
283,818,1,New England,"I have not but I live in the northeast, I have just never made it up that far!",boston is also the largest city in new england .,boston is the largest city in massachusetts and massachusetts .,Boston is New England's largest city as well as the capital of Massachusetts.,"Boston is New England's largest city, and their football team is the New England Patriots, are you a Patriots fan?",0,0
284,821,2,Human cannibalism,No! A lot of interesting stuff seems to have come out of the 80's though,that ' s true . it was filmed in amazon rainforest in colombia .,"i ' ve never heard of that , but it has been around since the 1990 ' s .","""Cannibal Holocaust"" was filmed primarily in the Amazon rainforest of Colombia with indigenous tribes interacting with American and Italian actors.",Yeah it was mostly filmed in the Amazon rainforest and they actually used indigenous tribes as actors.,0,1
285,824,1,McDonald's,That's how I feel. Prices are high and quality is down.,i agree . they serve 69 million people daily in 100 countries . they must be doing something right .,they serve over 69 million customers daily in over 100 countries .,"McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across approximately 36,900 outlets as of 2016.",It's hard to believe they are the world's largest fast food chain in revenue serving 69 million people daily! They are in over 100 countries! I guess somebody likes those nuggets! lol,0,0
286,833,1,Van Halen,"Oh I know, I love Van Halen!",the band was formed in 1972 in pasadena california .,do you like van halen ? they were formed in 1965 .,"Van Halen is an American hard rock band formed in Pasadena, California, in 1972.","The band was  formed in Pasadena, California, in 1972.",0,1
287,843,1,Border Collie,border collies are nice.  how old is yours?,3 years old . they were specifically bred to be intelligent and obedience dogs,he was bred to be obedient and obedient .,It was specifically bred for intelligence and obedience.,Shep is 4 and was bred for intelligence and obedience,0,1
288,850,0,Country music,,do you like country music ? it originated from the southern us in the 1920s .,do you like country music ? it originated in the southern united states .,Country (or country and western) is a musical genre that originated in the southern United States in the early 1920s.,Country (or country and western) is a musical genre that originated in the southern United States,0,0
289,852,0,Unicorn,,i love unicorns . they are legendary creatures .,have you ever seen a unicorn ? it is a legendary creature with a spiraling horn .,"The unicorn is a legendary creature that has been described since antiquity as a beast with a single large, pointed, spiraling horn projecting from its forehead.",unicorns are my favorite legendary creature! their pointed horns are sooo cute!,0,0
290,867,2,Night owl (person),I never knew that! What else can you tell me about being a night owl? Why is it called that?,"i ' m not sure , but the term "" night owl "" comes from the habits of owls .",the word owl is derived from the nocturnal habits of the owl .,The term is derived from the primarily nocturnal habits of the owl.,"It is derived from the owl, which is primarily nocturnal.",0,1
291,887,4,Jess Greenberg,Very interesting i cant believe it !,it ' s crazy to think that she also cites hendrix as one of her inspirations !,"yes , she is one of the greatest artists of all time .","Greenberg also cites Jimi Hendrix as ""one of my biggest inspirations"".","Me neither! Jess credits Jimi Hendrix as being one of her biggest inspirations, but she's also a fan of AC/DC, GNR and Red Hot Chili Peppers. I love her taste. Those are all solid influences!",0,1
292,898,0,Pepsi,,i love pepsi . it was originally created in 1893 .,do you like pepsi ? it was invented in 1893 by caleb bradham .,"Originally created and developed in 1893 by Caleb Bradham and introduced as Brad's Drink, it was renamed as Pepsi-Cola on August 28, 1898, and then as Pepsi in 1961.",I really enjoy Pepsi. It has been around since 1893,0,0
293,906,3,Woodstock,"I bet it gets pretty crowded there, but I'm sure the music is awesome.",it does get crowded . 32 acts were performed outdoors .,that ' s true . 32 acts performed by 32 acts .,"During the sometimes rainy weekend, 32 acts performed outdoors before an audience of more than 400,000 people.",It was mostly a rainy weeekend during that time.,0,1
294,916,2,BMW,"Cool, where was it founded?","i ' m not sure , but i know it ' s headquarters is in munich .","i ' m not sure but they were founded in munich , bavaria .","The company was founded in 1916 and has its headquarters in Munich, Bavaria.","Its headquarters in Munich, Bavaria",0,0
295,938,0,Vancouver Grizzlies,Do you know anything about the Vancouver Grizzlies?,i know that they are a canadian basketball team .,"yes , they are a canadian professional basketball team based in vancouver .","The Vancouver Grizzlies were a Canadian professional basketball team based in Vancouver, British Columbia.",The Grizzlies were a professional Canadian basketball team.,0,0
296,938,1,Vancouver Grizzlies,I did not even realize that Canada had professional basketball teams!,"yes , they are based out of memphis tennessee .","i ' m not sure , but they are based in tennessee .","The Memphis Grizzlies are an American professional basketball team based in Memphis, Tennessee.","Well there used to be a Vancouver grizzlies, now they are in the US and known as the Memphis Grizzlies.",0,0
297,961,3,Starbucks,I thought so.  How long has Starbucks been around?,i ' m not sure but they were founded in 1971,"starbucks was founded in 1971 in seattle , washington .","Starbucks was founded in Seattle, Washington in 1971.",It started in 1971 in Seattle :),0,0
300,5,0,Asthma,Hello! I heard you knew a lot about asthma. I have asthma and I'd like to know more about it.,"well , it ' s a common inflammatory disease .","yes , it is a viral disease of the lungs .",Asthma is a common long-term inflammatory disease of the airways of the lungs.,I am sorry you have the long-term inflammatory disease of the airways of the lungs.,0,1
302,7,2,Live action role-playing game,Really? Wow! Where are they popular overseas?,"i ' m not sure , but i do know that gamemasters decides the rules and set of the game .","i ' m not sure , but i do know that the rules are governed by rugby federation .",Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,"Canada, Finaland, Germany to name a few! They're arranged by gamemasters who decide on the rules",0,1
303,8,2,Classical music,I'm native American and I don't consider it classical at all. Give me a drug circle that's classical.,i can see where you ' re coming from . i think it ' s interesting that music is a form of art and a cultural activity .,i agree . it ' s a form of cultural activity that has evolved over time .,Music is an art form and cultural activity whose medium is sound organized in time.,Well music is an art form and not everyone has the same taste and that is perfectly fine.  If we did the world would be a boring place.,0,1
304,9,0,Penguin Random House,Penguin Random House seems like it has been around for awhile.,"it ' s been around since july 1st , 2013 .",that ' s awesome ! i ' ve never heard of it . it ' s been around since 1979 .,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.","I think it was founded in 2013, sometime in the summer.",0,1
306,14,0,Rush (band),I once seen the band Rush in concert. it was awesome! Do you listen to them?,i ' ve heard of them . they ' re a canadian band .,"yes , they are a great band . they were formed in 2006 .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","That's really cool, I don't listen to them but I know a bit about them. They're a Canadian rock band. They have Geddy lee on it, Alex Lifeson and Neil Peart.",0,1
307,14,3,Rush (band),"Yes definitely! That's what I love about them. So engaging, so thought provoking. Would you like to see them in concert?","i ' d love to , i ' ve seen them a few times in concert before and they were great . i ' m sure i ' ll see them again one day .","i ' m not sure , but i do know they are an american rock band .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","I'd love to see their concert! I'd want to see Geddy lee and hear his awesome vocal, and Alex Lifeson on guitar! I mean, wow that'd be cool. Neil is so good on drums too, that'd be pleasure to hear live.",0,1
308,16,3,Red hair,"Sounds like a pretty women! like nicole kidman, another rehead hahaha, now i love my hair.",haha ! i love her ! i think she is very fiery and fiery tempered,"i ' m not sure , but i do know they have a strong personality clash .",Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,you should!  I know there are stereotypes about fiery-tempers going with it but I'm not sure it's true,0,1
309,22,2,Bagel,I really like cream cheese but also sometimes peanut butter on my bagels.,i like peanut butter too . it ' s popular in a lot of countries .,peanut butter is the most popular item in the united states .,Peanut butter is popular in many countries.,Ahh yes peanut butter is popular in many countries! Do you prefer chunky or smooth?,0,1
311,36,3,Yoga,"Yeah, they are all very spiritual people in that part of the world. I would love to visit there one day.",i ' m sure you would . there are a lot of people who practice yoga from india .,yoga gurus introduced yoga to india in the late 19th century .,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",It's a wonderful part of the world. It was actually yoga gurus from India who brought yoga to the West.,0,1
313,43,0,Lactose intolerance,Do you know anything about being lactose intolerant?,i know a little bit about it . it ' s a condition where people can ' t digest milk .,"no , i don ' t , but i do know that it ' s the ability to digest lactose .","Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.",I think I may have lactose intolerance. I'm having a hard time digesting milk.,0,1
314,51,0,Sephora,Sephora is so pretty i love it,me too ! it ' s been around since 1969 .,me too ! it ' s an american fashion company founded in 1854 .,Sephora is a French chain of cosmetics stores founded in 1969.,The french chain store?,0,1
315,54,1,Upholstery,Oh really that sounds fun what do you do?,i work with it . i ' m an apprentice .,an upholsterer is a person who specializes in dentistry .,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,I'm the owner of the business and an upholsterer and I have an apprentice called an outside or trimmer.,1,1
316,55,0,Magic: The Gathering,I love playing magic the gathering with some friends its really fun,me too ! i love trading card games and collectable card games .,magic is one of the oldest trading card games in the world .,Magic: The Gathering is a trading card game and a digital collectible card game.,"Cool, Magic: the Gathering is a trading card game.",0,1
317,55,2,Magic: The Gathering,yea it had its 25th anniversary this year,in constructed players create decks that have 60 cards .,yes it is . it is played on 52 cards .,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.","Awesome, players can create their own decks, usually 60 cards and no more than 4 of a single card.",0,1
318,61,0,Madonna (entertainer),Do you know anything about Madonna. I know she was popular a while back if I recall.,"i know a little bit about madonna , but i don ' t know much about her music .",she has been known for her influence since the 1990s .,"Besides sparking controversy, her works have been praised by music critics.",Yes I own all of her albums. Most of her works have been pretty highly praised by many music critics even to this day,0,1
320,62,1,Burrito,Is it really an authentic Mexican dish? When were burritos invented?,yes it is an authentic food . the name ' burritto ' is applied to it,"i ' m not sure , but i do know that the word "" taco "" originated from germany .","The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.","The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls,related to packs carried by donkeys",0,1
321,80,1,India,"Yes I have. I have seen movies that show it, watched documentaries that travel through it but can embarrassingly admit that I know nothing about it. Where is it located?",it is located in the seventh largest country in area,it ' s the seventh largest country in the us and the seventh - largest country by area .,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.","Well, its the seventh-largest country by area located in southeast Asia!",1,1
322,84,2,Fashion design,I have friends who design bracelets.,that ' s cool . fashion designers try to design clothing which is functional and pleasing as well .,"yes , fashion design is also known as interior design .",Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,"Yes, the fashion designers also design clothes that are functional too.",0,1
323,87,2,Cookie jar,I see.  I love the British Baking show on PBS.  They cook all sorts of interesting things.,i do too . the first episode aired on august 2010 and it was on bbc 2 .,"that ' s true . the show aired on march 30 , 2002 .","The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.",I have heard of that show. I heard they moved it from BBC Two to BBC One because it was so popular after the first four seasons.,0,1
324,88,3,Battlestar Galactica (2004 TV series),"Wow, no kidding. I saw a parody summary of it once where it was just a bunch of people saying ""I'm a Cylon"" over and over. Accurate?",yes ! that ' s exactly what it is ! the colonies have been in war with a cylon race for thousands of years !,"well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .","In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",Accurate. The Cylons are an android race of their own creation who were at war with the Twelve Colonies.,1,1
325,101,1,Hamburger,"I do not, but I'll eat some french fries.","do you like french fries , chips or finger chips ?",french fries are called chips in the united states .,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.","I love potatoes too, They're called finger chips in India too.",0,1
326,102,1,Veganism,"it can also make your metabolism faster, and you become healthier overall.",i read that veganism doesn ' t recommend it for children or pregnant women,the german society for nutrition is not recommended for children .,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.","Some people don't recommend it for children, adolescents or during pregnancy, though.",1,1
328,111,2,"Nashville, Tennessee","Cool, I really don't know much about counties over there.","nashville is located in cumberland river , in north central",nashville is located in the north part of the cumberland river .,It is located on the Cumberland River in the north central part of the state.,"Nashville, Tennessee is located on the cumberland river",0,1
330,115,3,Hybrid vehicle,That is a good point.  What else do you know about them?,"well , in 1995 , he built a car called the fahrad .","i ' m not sure , but i do know that it was designed by maria elektroley .","In 1995 Thomas Muller designed and built a ""Fahrrad mit elektromagnetischem Antrieb"" for his 1995 diploma thesis.",they were first designed. in 95 by thomas muller,1,1
331,119,0,Leonardo da Vinci,,i ' ve always wanted to learn about the italian renaissance .,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .","Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.","Do you love painting? commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting,",0,1
332,120,2,Tokyo,"That's wild, how many people are there roughly if you know?","i ' m not sure , but i know that the 2016 u . s . nation ' s estimate is at 38 million people .","i ' m not sure , but it is the largest city in the united states .","A 2016 United Nations estimate puts the total population at 38,000,000.",In 2016 the United Nations estimated the population to be about 38 million!,0,1
333,122,1,Night owl (person),"I understand, it' hard to wake up early during the day.",in some countries early birds can be called a people or b people .,"in scandinavia early birds are called "" b - people ""","In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".","In Scandanavia, they refer to early birds as A People and night owls as B People! lol  I wish I knew where they came up with that!",1,1
334,123,0,"Portland, Maine","Have you ever been to Portland, Maine? I know about Porland OR but I didnt know there was one in Maine","yes , it ' s the most populated city in maine .",portland is the most populous city in the united states .,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.","No, I haven't.  I didn't realize there was one in Maine either. Apparently it is the most populous city in the state of Maine.",0,1
335,125,1,Xbox,What kind of video games are you  interested in?,i like video games that involve interaction with the user interface,xbox is a video game that involves interaction with a user interface to generate visual feedback,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,i like it video games,0,1
336,128,3,Pittsburgh,What are some cool things to see there?,"i ' m not sure , but i know that there is a lot to see in the city ! there ' s 30 sky scrapers and 2 inclined railways !","i ' m not sure , but i do know that it consists of three inclined railways .","The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers.","There's plenty, such as 30 skyscrapers, two inclined railways, and a pre-revolutionary fortification.",0,1
337,133,3,Ed Sheeran,"Whoa, that really is crazy. I wonder what it was like for him growing up.","i ' m not sure , but i do know that he graduated from guil__unk__ in 2009 !","i ' m not sure , but i know he was born in 2009 .",He attended the Academy of Contemporary Music in Guildford as an undergraduate from the age of 18 in 2009.,Probably slightly boring because it's in the country but at least he attended the academy of contemporary music after high school.,1,1
338,138,2,Mobile phone,Are motorola brands still in the market?,"i ' m not sure , but i do know that motorola was bought in 2012 by google .","i ' m not sure , but i know it was introduced in 2003 .","Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014.","Motorola was actually sold to Google back in 2012, and then to Lenovo in 2014.",0,1
343,182,3,Clarinet,Where is Tale from? What other instruments does he play?,he was born in 1922 and played recorder and bagpipe .,he is a legend . he has been around since 2014 .,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.","He was from Macedonia and also played the bagpipe, zurna, recorder and drums...and he composed.",0,1
345,200,2,Pearl Jam,Why are they your favorite band?  What songs are they most famous for?,i think they are my favorite because they were formed in 1991 and their debut album ten was released in 1991,"i like their debut album "" pearl jam "" , which was released in 2007 .","Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.",They have way to many to choose from. in 91' they burst into the spotlight with the album ten! It was their debut album.,1,1
348,254,1,Denmark,What language do they speak there?,"i ' m not sure , but i do know that there are 2 autonomous constituent nations in the northern atlantic ocean .",denmark is the largest country in the united kingdom .,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,They speak danish wich is not that hard to lear. The Kingdom of Denmark also comprises two autonomous constituent countries,0,1
349,271,2,Yoga,"I teach Vinyasa and Hatha. I don't know if I'm special, just had a good opportunity to learn, and good teachers!",what type of yoga do you teach ? hatha means force in sanskrit,"the word "" hatha "" is derived from the sanskrit word "" sanskrit ""","The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.",hatha means force,0,1
350,273,3,Ketogenic diet,"I would choose the one that allowed the most sugar ha, What are the benefits of this type of diet?",ketones are used to replace glucose in the brain,the diet converts energy into glucose to the brain .,The ketone bodies pass into the brain and replace glucose as an energy source.,It is primarily used to treat children with epilepsy as it puts the body in to ketosis and forces ketone bodies in to the brain instead of glucose,0,1
351,284,3,Moped,They would rather support a fossil fuel vehicle than a green one.,that ' s true . countries like canada and the us have regulations governing safety requirements .,"i ' m not sure , but i do know that in the united states they regulate the laws of the government .",Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,"It appears so, United States and Canada have federal regulations governing the safety requirements and standards of manufacture.",0,1
353,288,3,Chevrolet Corvette,Interesting. I don't know much about these cars other than they are fast!,the name of the car was named after the small warship,"yes , they are named after a myron scott .","Myron Scott is credited for naming the car after the type of small, maneuverable warship called a corvette.",the corvette was  named by myron scott after a warship called corvette,0,1
354,291,4,Classical music,What do you mean by staff notion?,music notation is used to visualize music played by instruments .,"i ' m not sure , but i do know that classical music is used to create musical instruments .","Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",It visually demonstrates musical instruments and song by using symbols that are written or printed.,0,1
355,294,1,Caffeine,Really? tell me more...,"well unlike other drugs , it ' s legal , unregulated , and legal all over the world !","i ' m not sure , but it is the most regulated drug in the world .","Unlike many other psychoactive substances, it is legal and unregulated in nearly all parts of the world.",Well this is because it is legal and unregulated in nearly all parts of the world! like coffe,0,1
356,315,1,"Austin, Texas",Oh yeah I have been there for the SXSW,that is awesome . the music scene has been around for a long time . it has been known as the living music capital the world,"austin is also known as the "" live city of music ""","In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""",I love all of the music and culture in the city.  It is actually considered to be the Live music capital of the world!,0,1
357,319,3,Halo (series),"Yeah, I remember her.",did you ever play the campaign where she gives backstory ?,"yeah , it ' s crazy how old it was . it was created by the owner of the galaxy .","During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117.",I always liked the unusual relationship between Cortana and the Master Chief. It added a strange bit of company to the misery of lonliness that the story sometimes creates.,1,1
358,321,3,Gone with the Wind (film),"I think I've heard of Clark Gable before. Anything else you could tell me about the production of the movie, or the plot, etc.?",the original screenwriter was sidney howard who wrote the screenplay,"i ' m not sure , but i do know that it was created by edward howard and joseph .",The original screenplay was written by Sidney Howard and underwent many revisions by several writers in an attempt to get it down to a suitable length.,The original screenplay was rewritten several times in an attempt to shorten the film.  The film ended up still being over 3 hours long,0,1
359,334,3,Cat,"Many Egyptians worshipped the goddess Bast, who had a woman’s body and a cat’s head, that is interesting.",i didn ' t know that ! they can also see in very near darkness !,cats can see in near darkness . they can also see in darkness .,They can see in near darkness.,It is interesting! And cats can see in near darkness.,0,1
360,338,3,Coca-Cola,"Not at all, they have really changed the recipe to be more manufacturable, like with high fructose corn syrup.",i didn ' t know that . the coca cola company makes concentrate and sells it to licensed bottlers,"i ' ve never heard of that , but i do know that coca cola is owned by pepsico .","The Coca-Cola Company produces concentrate, which is then sold to licensed Coca-Cola bottlers throughout the world.","I would drink their concentrate by the tap! Hey, was that cocaine plant that was once in it?",0,1
